Species,family,Transect
Prosopis torquata,Fabaceae,1
Zuccagnia punctata,Fabaceae,1
Zuccagnia punctata,Fabaceae,1
Zuccagnia punctata,Fabaceae,1
Zuccagnia punctata,Fabaceae,1
Microchloa indica,Poaceae,1
Zuccagnia punctata,Fabaceae,1
Zuccagnia punctata,Fabaceae,1
Tephocactus sp.,Cactaceae,1
Larrea cuneifolia,Zygophyllaceae,1
Tricomaria usillo,Zygophyllaceae,1
Tricomaria usillo,Zygophyllaceae,1
Larrea cuneifolia,Zygophyllaceae,1
Tricomaria usillo,Zygophyllaceae,1
Tricomaria usillo,Zygophyllaceae,1
Aristida mendocina,Poaceae,1
Aristida mendocina,Poaceae,1
Tricomaria usillo,Zygophyllaceae,1
Aristida mendocina,Poaceae,1
Zuccagnia punctata,Fabaceae,1
Ximenia americana,Olacaceae,1
Zuccagnia punctata,Fabaceae,1
Pappophrum vaginatum,Poaceae,1
Larrea cuneifolia,Zygophyllaceae,1
Pappophrum vaginatum,Poaceae,1
Ximenia americana,Olacaceae,1
Aristida mendocina,Poaceae,1
Bidens pilosa,Asteraceae,1
Ximenia americana,Olacaceae,1
Senna aphylla,Fabaceae,1
Aristida mendocina,Poaceae,1
Aristida mendocina,Poaceae,1
Aristida mendocina,Poaceae,1
Aristida mendocina,Poaceae,1
Larrea cuneifolia,Zygophyllaceae,1
Larrea cuneifolia,Zygophyllaceae,1
Tricomaria usillo,Zygophyllaceae,1
Tricomaria usillo,Zygophyllaceae,1
Tricomaria usillo,Zygophyllaceae,1
Tricomaria usillo,Zygophyllaceae,1
Pappophrum vaginatum,Poaceae,1
Larrea cuneifolia,Zygophyllaceae,1
Tricomaria usillo,Zygophyllaceae,1
Pappophrum vaginatum,Poaceae,1
Larrea cuneifolia,Zygophyllaceae,1
Tricomaria usillo,Zygophyllaceae,1
Larrea cuneifolia,Zygophyllaceae,1
Larrea cuneifolia,Zygophyllaceae,1
Larrea cuneifolia,Zygophyllaceae,1
Microchloa indica,Poaceae,1
Larrea cuneifolia,Zygophyllaceae,1
Pappophrum vaginatum,Poaceae,1
Larrea cuneifolia,Zygophyllaceae,1
Larrea cuneifolia,Zygophyllaceae,2
Senna aphylla,Fabaceae,2
Zuccagnia punctata,Fabaceae,2
Zuccagnia punctata,Fabaceae,2
Larrea cuneifolia,Zygophyllaceae,2
Larrea cuneifolia,Zygophyllaceae,2
Eragrostis sp.,Poaceae,2
Larrea cuneifolia,Zygophyllaceae,2
Aristida mendocina,Poaceae,2
Larrea cuneifolia,Zygophyllaceae,2
Eragrostis sp.,Poaceae,2
Larrea cuneifolia,Zygophyllaceae,2
Aristida mendocina,Poaceae,2
Larrea cuneifolia,Zygophyllaceae,2
Larrea cuneifolia,Zygophyllaceae,2
Larrea cuneifolia,Zygophyllaceae,2
Larrea cuneifolia,Zygophyllaceae,2
Larrea cuneifolia,Zygophyllaceae,2
Larrea cuneifolia,Zygophyllaceae,2
Larrea cuneifolia,Zygophyllaceae,2
Microchloa indica,Poaceae,2
Microchloa indica,Poaceae,2
Tricomaria usillo,Zygophyllaceae,2
Tricomaria usillo,Zygophyllaceae,2
Larrea cuneifolia,Zygophyllaceae,2
Tricomaria usillo,Zygophyllaceae,2
Tricomaria usillo,Zygophyllaceae,2
Tricomaria usillo,Zygophyllaceae,2
Tricomaria usillo,Zygophyllaceae,2
Tricomaria usillo,Zygophyllaceae,2
Tricomaria usillo,Zygophyllaceae,2
Tricomaria usillo,Zygophyllaceae,2
Microchloa indica,Poaceae,2
Tricomaria usillo,Zygophyllaceae,2
Ximenia americana,Olacaceae,2
Pappophrum vaginatum,Poaceae,2
Ximenia americana,Olacaceae,2
Tricomaria usillo,Zygophyllaceae,2
Tricomaria usillo,Zygophyllaceae,2
Microchloa indica,Poaceae,2
Tricomaria usillo,Zygophyllaceae,2
Microchloa indica,Poaceae,2
Ximenia americana,Olacaceae,2
Aristida mendocina,Poaceae,2
Larrea cuneifolia,Zygophyllaceae,2
Senna aphylla,Fabaceae,3
Zuccagnia punctata,Fabaceae,3
Zuccagnia punctata,Fabaceae,3
Microchloa indica,Poaceae,3
Larrea cuneifolia,Zygophyllaceae,3
Larrea cuneifolia,Zygophyllaceae,3
Larrea cuneifolia,Zygophyllaceae,3
Microchloa indica,Poaceae,3
Aristida mendocina,Poaceae,3
Microchloa indica,Poaceae,3
Zuccagnia punctata,Fabaceae,3
Zuccagnia punctata,Fabaceae,3
Zuccagnia punctata,Fabaceae,3
Microchloa indica,Poaceae,3
Microchloa indica,Poaceae,3
Microchloa indica,Poaceae,3
Microchloa indica,Poaceae,3
Microchloa indica,Poaceae,3
Larrea cuneifolia,Zygophyllaceae,3
Larrea cuneifolia,Zygophyllaceae,3
Microchloa indica,Poaceae,3
Aristida mendocina,Poaceae,3
Microchloa indica,Poaceae,3
Microchloa indica,Poaceae,3
Larrea cuneifolia,Zygophyllaceae,3
Microchloa indica,Poaceae,3
Larrea cuneifolia,Zygophyllaceae,3
Microchloa indica,Poaceae,3
Larrea cuneifolia,Zygophyllaceae,3
Larrea cuneifolia,Zygophyllaceae,3
Microchloa indica,Poaceae,3
Tephocactus sp.,Cactaceae,3
Senna aphylla,Fabaceae,3
Larrea cuneifolia,Zygophyllaceae,3
Senna aphylla,Fabaceae,3
Munroa mendocina,Poaceae,3
Microchloa indica,Poaceae,3
Larrea cuneifolia,Zygophyllaceae,3
Microchloa indica,Poaceae,3
Munroa mendocina,Poaceae,3
Microchloa indica,Poaceae,3
Larrea cuneifolia,Zygophyllaceae,3
Microchloa indica,Poaceae,3
Microchloa indica,Poaceae,3
Microchloa indica,Poaceae,3
Larrea cuneifolia,Zygophyllaceae,3
Tricomaria usillo,Zygophyllaceae,3
